id,previous_risk,status,implemented_control,verification,result
SEM-001,Vendor/demo prices in production fallback,FIXED,Data-driven pending-command map; no defaults,test_phase16_semantic_isolation::test_no_ccbsn_vendor_literals_or_command_prices_in_production_source; test_phase20_generic_command_intake,PASS
SEM-002,Fixed six-command vocabulary,FIXED,Generic command id/order type/price/action schema,test_phase20_generic_command_intake,PASS
SEM-003,Generic feature name silently selects fixture semantics,FIXED,Required semantic variant and registry validation,test_phase16_semantic_isolation::test_feature_variant_is_required_before_semantic_codegen; test_phase18_cross_feature_invariants::test_unsupported_semantic_variant_is_blocked,PASS
CFG-001,Profile command overlay merges stale commands/provenance,FIXED,Atomic replacement of map and related requirements,test_phase10_ir_configure::test_atomic_command_overlay_removes_stale_extracted_command_requirements,PASS
EXE-001,Stop Buy/Sell bypass by recovery engines,FIXED,Centralized ExposureAllowed gate for every exposure source,test_phase16_semantic_isolation::test_all_exposure_engines_pass_central_direction_gate,PASS
EXE-002,Unknown broker outcome can be retried blindly,FIXED,Persistent intent ledger; reconcile-before-retry,test_phase17_runtime_safety::test_trade_intent_ledger_blocks_unknown_outcome_retry; test_async_timeout_retry_policy_is_blocked,PASS
EVT-001,Duplicate/out-of-order trade events mutate state repeatedly,FIXED,64-bit idempotent event reducer and pending reconciliation queue,test_phase17_runtime_safety::test_event_reducer_deduplicates_deals_and_final_close_side_effects,PASS
EVT-002,Partial fills trigger final-close side effects more than once,FIXED,Aggregate by POSITION_IDENTIFIER and apply after live position closes,test_phase17_runtime_safety,PASS
TIME-001,Daily and session clocks silently differ,FIXED,Explicit runtime.time_policy and mixed-clock approval,test_phase17_runtime_safety::test_daily_and_session_features_require_explicit_time_policy; test_mixed_daily_and_session_clocks_require_explicit_approval,PASS
TIME-002,History/cash-flow corrupt daily accounting,FIXED,Two-stage history-ready gate and cash-flow exclusion,test_phase17_runtime_safety,PASS
HZ-001,Persisted Hedge Zone drifts from live position book,FIXED,"Live-book reconciliation, state schema migration and position identifier anchor",test_phase17_runtime_safety::test_hedge_zone_state_is_reconciled_from_live_position_book,PASS
HZ-002,Lot balance/reverse/hedge competes with active zone,FIXED,Explicit exclusive/cooperative per-engine concurrency policy,test_phase18_cross_feature_invariants::test_cooperative_hedge_zone_emits_per_engine_admission_contract,PASS
CFG-002,Account-wide close/sniper lacks ownership approval,FIXED,Planner ownership scope and explicit approval invariant,test_phase18_cross_feature_invariants::test_account_wide_exit_requires_scope_and_operator_approval; test_account_wide_cross_sniper_requires_ownership_approval,PASS
CFG-003,Pending command collision,FIXED,Unique transport/order-type/price invariant,test_phase18_cross_feature_invariants::test_remote_command_collision_is_blocked,PASS
CFG-004,Recovery outside session has undefined precedence,FIXED,Required recovery_session_policy; daily halt always wins,test_phase17_runtime_safety::test_recovery_engines_with_sessions_require_explicit_timing_contract; test_phase18_cross_feature_invariants::test_dca_outside_session_cannot_override_daily_halt_precedence,PASS
TEST-001,Missing external fixture counted as PASS,FIXED,Required fixture fails; optional fixture explicit skip,test_phase12_advanced_builder; test_phase14_ship_hardening,PASS
PKG-001,Runtime coverage artifacts shipped,FIXED,Never-ship policy for .coverage and coverage.json,test_phase9_distribution_hygiene,PASS
ISO-001,CCBSN semantics pollute unrelated EA builds,FIXED,Four-archetype clean-wheel acceptance and production literal scan,test_phase19_cross_project_acceptance; GENERIC-ACCEPTANCE.json,PASS
