requirement_id,priority,path,value,confidence,source_refs,implementation,tests,status
REQ-0001,must,strategy.entry.signal_selectable,True,0.9,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Đa dạng tín hiệu vào lệnh: CCI, Stoch, Momentum, Supertrend, UTBOT, RSI, RSI Reversal, Break Kumo Ichimoku, SMC;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p19:Chọn tín hiệu mở lệnh",CEntryEngine,model:test_signal_dispatch,GENERATED
REQ-0002,must,strategy.dca.enabled,True,0.99,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p1:CCBSN – EA giao dịch DCA + Martingale + Hedge thông minh;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p1:🚀 Chiến lược chính: DCA (Dollar Cost Averaging) kết hợp Martingale linh hoạt, tự động tỉa lệnh (Sniper), hedging zone và nhiều tín;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p1:cho những nhà giao dịch muốn tự động hóa chiến lược nhồi lệnh trung bình giá (DCA), kiểm soát rủi ro bằng Martingale có điều kiện, đồng;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p1:cho những nhà giao dịch muốn tự động hóa chiến lược nhồi lệnh trung bình giá (DCA), kiểm soát rủi ro bằng Martingale có điều kiện, đồng;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p1:cho những nhà giao dịch muốn tự động hóa chiến lược nhồi lệnh trung bình giá (DCA), kiểm soát rủi ro bằng Martingale có điều kiện, đồng",CDCAEngine,model:test_dca_gate,GENERATED
REQ-0003,must,strategy.dca.step,True,0.9,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p8:Chọn kiểu DCA Step (khoảng cách cố định), Step+TF (mỗi nến nhồi 1 lần), Step Multiplier (khoảng cách nhân dần), Signal DCA (nhồi theo tín hiệu),;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p8:Chọn kiểu DCA Step (khoảng cách cố định), Step+TF (mỗi nến nhồi 1 lần), Step Multiplier (khoảng cách nhân dần), Signal DCA (nhồi theo tín hiệu),",CDCAEngine::RequiredDistance,model:test_dca_step,GENERATED
REQ-0004,must,strategy.dca.step_timeframe,True,0.99,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Nhồi lệnh DCA thông minh: Step, Step+TF, Step Multiplier (cấp số nhân), Signal DCA, Nhồi dương, Nhồi âm dương, Nhồi âm dương;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p8:Chọn kiểu DCA Step (khoảng cách cố định), Step+TF (mỗi nến nhồi 1 lần), Step Multiplier (khoảng cách nhân dần), Signal DCA (nhồi theo tín hiệu),;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p8:Chọn kiểu DCA Step (khoảng cách cố định), Step+TF (mỗi nến nhồi 1 lần), Step Multiplier (khoảng cách nhân dần), Signal DCA (nhồi theo tín hiệu),;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p24:Step+TF: Mỗi nến chỉ nhồi 1 lần.",ManageDCA::StepTimeframe,model:test_dca_bar_gate,GENERATED
REQ-0005,must,strategy.dca.step_multiplier,True,0.99,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Nhồi lệnh DCA thông minh: Step, Step+TF, Step Multiplier (cấp số nhân), Signal DCA, Nhồi dương, Nhồi âm dương, Nhồi âm dương;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p8:Chọn kiểu DCA Step (khoảng cách cố định), Step+TF (mỗi nến nhồi 1 lần), Step Multiplier (khoảng cách nhân dần), Signal DCA (nhồi theo tín hiệu),;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p8:Chọn kiểu DCA Step (khoảng cách cố định), Step+TF (mỗi nến nhồi 1 lần), Step Multiplier (khoảng cách nhân dần), Signal DCA (nhồi theo tín hiệu),;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p9:Dùng cho kiểu Step Multiplier: khoảng cách = 0.Khoảng cách nhồi lệnh ban đầu × (Hệ số nhân khoảng cách)^(số lệnh).",CDCAEngine::RequiredDistance,model:test_dca_step_multiplier,GENERATED
REQ-0006,must,strategy.dca.signal,True,0.99,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Nhồi lệnh DCA thông minh: Step, Step+TF, Step Multiplier (cấp số nhân), Signal DCA, Nhồi dương, Nhồi âm dương, Nhồi âm dương;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p8:Chọn kiểu DCA Step (khoảng cách cố định), Step+TF (mỗi nến nhồi 1 lần), Step Multiplier (khoảng cách nhân dần), Signal DCA (nhồi theo tín hiệu),;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p8:Chọn kiểu DCA Step (khoảng cách cố định), Step+TF (mỗi nến nhồi 1 lần), Step Multiplier (khoảng cách nhân dần), Signal DCA (nhồi theo tín hiệu),;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p24:Signal DCA: Có tín hiệu mua/bán mới.",ManageDCA::Signal,model:test_dca_signal_gate,GENERATED
REQ-0007,must,strategy.dca.positive,True,0.96,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Nhồi lệnh DCA thông minh: Step, Step+TF, Step Multiplier (cấp số nhân), Signal DCA, Nhồi dương, Nhồi âm dương, Nhồi âm dương;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p8:Nhồi dương, Nhồi âm dương, Nhồi âm dương theo Signal, Step+Đóng nến.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p24:Nhồi dương / âm dương: Cho phép nhồi cả khi giá đi cùng chiều/cùng chiều và ngược chiều.",ManageDCA::Positive,model:test_dca_positive,GENERATED
REQ-0008,must,strategy.dca.bidirectional,True,0.99,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Nhồi lệnh DCA thông minh: Step, Step+TF, Step Multiplier (cấp số nhân), Signal DCA, Nhồi dương, Nhồi âm dương, Nhồi âm dương;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Nhồi lệnh DCA thông minh: Step, Step+TF, Step Multiplier (cấp số nhân), Signal DCA, Nhồi dương, Nhồi âm dương, Nhồi âm dương;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p8:Nhồi dương, Nhồi âm dương, Nhồi âm dương theo Signal, Step+Đóng nến.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p8:Nhồi dương, Nhồi âm dương, Nhồi âm dương theo Signal, Step+Đóng nến.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p16:Đặc biệt cho kiểu DCA Nhồi âm dương theo Signal: khi có cả Buy và Sell hoặc giá đảo chiều, dùng TP",ManageDCA::Bidirectional,model:test_dca_bidirectional,GENERATED
REQ-0009,must,strategy.dca.closed_bar,True,0.96,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:theo Signal, Step+Đóng nến.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p8:Nhồi dương, Nhồi âm dương, Nhồi âm dương theo Signal, Step+Đóng nến.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p24:Step+Đóng nến: Đợi đóng nến và nhồi ở đầu nến mới.",ManageDCA::ClosedBar,model:test_dca_closed_bar,GENERATED
REQ-0010,must,strategy.sizing.martingale,True,0.99,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p1:CCBSN – EA giao dịch DCA + Martingale + Hedge thông minh;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p1:🚀 Chiến lược chính: DCA (Dollar Cost Averaging) kết hợp Martingale linh hoạt, tự động tỉa lệnh (Sniper), hedging zone và nhiều tín;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p1:cho những nhà giao dịch muốn tự động hóa chiến lược nhồi lệnh trung bình giá (DCA), kiểm soát rủi ro bằng Martingale có điều kiện, đồng;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Hedging & Hedging Zone: mở lệnh ngược chiều khi thua lỗ hoặc đủ số lệnh, vùng phòng hộ với hệ số nhân tổng lots, thay đổi mức;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p7:Sử dụng chế độ xổ số? Bật chế độ Martingale kiểu ""xổ số"": nếu lệnh trước bị cắt lỗ (SL), lệnh tiếp theo sẽ tăng lots theo hệ số nhân.",CLotProgression::NextLot,model:test_lot_multiplier,GENERATED
REQ-0011,must,strategy.sizing.additive,True,0.96,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p8:Chọn hệ số lots DCA Hệ số nhân (multiplier) hoặc hệ số cộng (plus).;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p9:Hệ số cộng Nếu chọn hệ số cộng, lots mới = lots lệnh trước + giá trị này (mặc định 0.01).;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p9:Hệ số cộng Nếu chọn hệ số cộng, lots mới = lots lệnh trước + giá trị này (mặc định 0.01).",CLotProgression::NextLot,model:test_lot_additive,GENERATED
REQ-0012,must,strategy.sniper.same_chain,True,0.9,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p11:✂ Nhóm: Tỉa lệnh cùng chuỗi;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p11:Tỉa lệnh cùng chuỗi không quan tâm MagicNếu true, tỉa cả lệnh không cùng Magic Number (chỉ cùng cặp tiền).",CSniperEngine::ManageSameChain,model:test_same_chain_sniper,GENERATED
REQ-0013,must,strategy.sniper.cross_chain,True,0.9,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p12:🔀 Nhóm: Tỉa lệnh khác chuỗi;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p12:Sử dụng tỉa lệnh khác chuỗi Bật cơ chế tỉa lệnh giữa 2 chiều Buy và Sell (dùng Buy tỉa sell, dùng Sell tỉa Buy).",ManageCrossChainSniper,model:test_cross_chain_sniper,GENERATED
REQ-0014,must,strategy.sniper.partial,True,0.99,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p11:Sử dụng tỉa lệnh 1 phần Thay vì đóng hẳn lệnh đầu, chỉ cắt bớt một phần lots của lệnh đầu tiên.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p11:% âm kích hoạt tỉa lệnh 1 phần Khi % thua lỗ của chiều đó vượt ngưỡng này (ví dụ -30%) mới kích hoạt tỉa 1 phần.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p11:Số lệnh kích hoạt tỉa lệnh 1 phần Cần tối thiểu số lệnh này.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p12:Sử dụng tỉa lệnh 1 phần lệnh cùng chiềuCắt một phần lot của lệnh cùng chiều xa nhất.",CSniperEngine::PartialClose,model:test_partial_sniper,GENERATED
REQ-0015,must,strategy.hedge.standard,True,0.96,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p14:Sử dụng Hedging Zone? Bật vùng phòng hộ đặc biệt – khi đủ số lệnh, EA vẽ một vùng giá và mở lệnh lướt sóng 2 chiều với lots lớn.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p15:🔄 Nhóm: Hedging (Phòng hộ thường);/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p15:Sử dụng hedging Mở lệnh ngược chiều khi thua lỗ hoặc đủ số lệnh (mở lệnh cùng với lệnh DCA).",CHedgeEngine::Manage,model:test_hedge_trigger,GENERATED
REQ-0016,must,strategy.hedge.zone,True,0.99,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p1:🚀 Chiến lược chính: DCA (Dollar Cost Averaging) kết hợp Martingale linh hoạt, tự động tỉa lệnh (Sniper), hedging zone và nhiều tín;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Hedging & Hedging Zone: mở lệnh ngược chiều khi thua lỗ hoặc đủ số lệnh, vùng phòng hộ với hệ số nhân tổng lots, thay đổi mức;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Hedging & Hedging Zone: mở lệnh ngược chiều khi thua lỗ hoặc đủ số lệnh, vùng phòng hộ với hệ số nhân tổng lots, thay đổi mức;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p14:🛡 Nhóm: Hedging Zone;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p14:Sử dụng Hedging Zone? Bật vùng phòng hộ đặc biệt – khi đủ số lệnh, EA vẽ một vùng giá và mở lệnh lướt sóng 2 chiều với lots lớn.",ManageHedgeZone,model:test_hedge_zone_state,GENERATED
REQ-0017,must,strategy.reverse_entry,True,0.99,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Hedging & Hedging Zone: mở lệnh ngược chiều khi thua lỗ hoặc đủ số lệnh, vùng phòng hộ với hệ số nhân tổng lots, thay đổi mức;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Các chức năng đặc biệt khác: Reset lots thủ công, điều chỉnh TP chuỗi khi âm, mở lệnh ngược chiều, DCA theo tín hiệu ngoài, xổ số;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p10:🔄 Nhóm: Mở lệnh ngược chiều;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p10:Mở lệnh ngược chiều? Khi đủ số lệnh cùng chiều, bot sẽ mở một lệnh ngược hướng.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p10:Số lệnh kích hoạt mở lệnh ngược chiều Sau khi đạt số lệnh này (ví dụ 12 lệnh Buy), bot sẽ chờ tín hiệu Sell sau đó mới mở 1 lệnh Sell ngược.",ManageReverseEntry,model:test_reverse_entry,GENERATED
REQ-0018,must,strategy.lot_balance,True,0.99,"/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p2:Quản lý vốn & rủi ro: max lots, max spread, target lợi nhuận ngày, target bậc thang, trailing, cân lots 2 chiều (thêm lots độc lập hoặc;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p13:⚖ Nhóm: Cân Lots;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p13:Sử dụng cân lots? Tự động mở thêm lệnh ngược chiều để cân bằng khối lượng giữa Buy và Sell.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p13:Chế độ cân lots Thêm lots độc lập (magic=0) hoặc thêm lots vào chuỗi hiện tại.;/mnt/data/CCBSN Manual by Bo.Botfx.pdf:p13:Số lots chênh lệch kích hoạt cân lots Khi chênh lệch giữa tổng lots buy và tổng lots sell ≥ ngưỡng này, bắt đầu cân.",ManageLotBalance,model:test_lot_balance,GENERATED
